index,거래일,거래금액,m2당가격,전용면적,구주소,도로명주소,아파트,층,건축년도,법정동,지역코드,가격지수비율,환산가격,환산m2당가격,위경도,위도,경도
86,2022-03-30,554000,2268.409,244.224,도곡동 467-29,언주로30길 26  ,타워팰리스3,63,2004,도곡동,11680,1.1126666666666667,497902.936,2038.714,"{'lat': '37.4873363055886', 'lng': '127.052829715042'}",37.4873363055886,127.052829715042
87,2020-08-04,150500,1771.005,84.98,삼성동 52-9,학동로82길 6  ,삼성리치빌1,5,2003,삼성동,11680,0.8453333333333333,178036.278,2095.037,"{'lat': '37.518529686768', 'lng': '127.051129370461'}",37.518529686768,127.051129370461
88,2020-06-20,220000,2608.211,84.349,삼성동 16-2,학동로68길 29  ,삼성동힐스테이트 1단지,3,2008,삼성동,11680,0.8026666666666668,274086.379,3249.432,"{'lat': '37.5163123563071', 'lng': '127.048472953744'}",37.5163123563071,127.048472953744
89,2017-07-10,90000,1065.593,84.46,수서동 738,광평로39길 3  ,동익,11,1993,수서동,11680,0.662,135951.662,1609.657,"{'lat': '37.485322064615', 'lng': '127.096512817155'}",37.485322064615,127.096512817155
90,2021-10-21,250000,2951.942,84.69,대치동 63,영동대로 230  ,"대치우성아파트1동,2동,3동,5동,6동,7동",3,1984,대치동,11680,1.1433333333333333,218658.892,2581.874,"{'lat': '37.5002337297672', 'lng': '127.069139134413'}",37.5002337297672,127.069139134413
91,2017-12-28,190500,1388.079,137.24,도곡동 467,언주로30길 56  ,타워팰리스1,28,2002,도곡동,11680,0.666,286036.036,2084.203,"{'lat': '37.4882232479436', 'lng': '127.054439125962'}",37.4882232479436,127.054439125962
92,2019-09-24,63000,1058.735,59.505,역삼동 720-25,언주로 427  ,대우디오빌,26,2002,역삼동,11680,0.7213333333333334,87338.262,1467.747,"{'lat': '37.5014564802212', 'lng': '127.042688993712'}",37.5014564802212,127.042688993712
93,2017-09-23,95000,1118.042,84.97,수서동 747,광평로31길 27  ,삼성,2,1997,수서동,11680,0.6653333333333333,142785.571,1680.423,"{'lat': '37.4848961854277', 'lng': '127.090677682629'}",37.4848961854277,127.090677682629
94,2017-07-07,165000,1506.987,109.49,청담동 134-15,학동로 609  ,청담삼익아파트,7,1980,청담동,11680,0.662,249244.713,2276.415,"{'lat': '37.5233191738916', 'lng': '127.059176603682'}",37.5233191738916,127.059176603682
95,2019-06-01,192700,2282.364,84.43,대치동 316,삼성로 212  ,은마,4,1979,대치동,11680,0.7060000000000001,272946.176,3232.81,"{'lat': '37.4974180026259', 'lng': '127.065327020175'}",37.4974180026259,127.065327020175
96,2017-09-24,138500,1428.13,96.98,개포동 649,언주로 110  ,경남1,8,1984,개포동,11680,0.6653333333333333,208166.333,2146.487,"{'lat': '37.4845150908032', 'lng': '127.054173895409'}",37.4845150908032,127.054173895409
97,2020-06-30,150000,2500.0,60.0,개포동 12,개포로109길 21  ,삼익대청아파트,8,1992,개포동,11680,0.8026666666666668,186877.076,3114.618,"{'lat': '37.4941848052623', 'lng': '127.075215384158'}",37.4941848052623,127.075215384158
98,2017-12-09,117500,1576.335,74.54,일원동 734,광평로10길 15  ,상록수,5,1993,일원동,11680,0.666,176426.426,2366.869,"{'lat': '37.4815500818027', 'lng': '127.08209044113'}",37.4815500818027,127.08209044113
99,2019-06-20,179000,2213.429,80.87,역삼동 757,선릉로69길 19  ,역삼래미안,6,2005,역삼동,11680,0.7060000000000001,253541.076,3135.168,"{'lat': '37.4975161048325', 'lng': '127.050048075024'}",37.4975161048325,127.050048075024
100,2017-04-05,150500,949.048,158.58,역삼동 713-7,역삼로 309  ,래미안펜타빌,9,2007,역삼동,11680,0.6426666666666667,234180.498,1476.734,"{'lat': '37.5006993173268', 'lng': '127.047532688276'}",37.5006993173268,127.047532688276
101,2017-05-08,165000,1366.346,120.76,대치동 65,영동대로 220  ,쌍용대치2,5,1983,대치동,11680,0.6466666666666666,255154.639,2112.907,"{'lat': '37.4994725764941', 'lng': '127.070483284674'}",37.4994725764941,127.070483284674
102,2020-06-16,159500,1996.495,79.89,도곡동 462,남부순환로 2740  ,럭키(462),5,1986,도곡동,11680,0.8026666666666668,198712.625,2487.328,"{'lat': '37.4861679233808', 'lng': '127.046277688522'}",37.4861679233808,127.046277688522
103,2019-03-28,24033,1089.932,22.05,논현동 9-2,도산대로24길 19  ,논현인텔(9-2),5,1996,논현동,11680,0.6993333333333334,34365.586,1558.53,"{'lat': '37.5176731815421', 'lng': '127.026882085288'}",37.5176731815421,127.026882085288
104,2018-04-19,42000,1157.344,36.29,논현동 58-2,학동로 165  ,마일스디오빌,15,2004,논현동,11680,0.6819999999999999,61583.578,1696.985,"{'lat': '37.513885429675', 'lng': '127.028885611445'}",37.513885429675,127.028885611445
105,2020-06-09,305000,3227.855,94.49,대치동 1027,삼성로51길 37  ,래미안대치팰리스,2,2015,대치동,11680,0.8026666666666668,379983.389,4021.414,"{'lat': '37.4942977651239', 'lng': '127.058003438015'}",37.4942977651239,127.058003438015
106,2018-10-16,104000,1735.068,59.94,일원동 711,양재대로55길 12  ,수서,12,1992,일원동,11680,0.7253333333333333,143382.353,2392.098,"{'lat': '37.4926342499883', 'lng': '127.090283572636'}",37.4926342499883,127.090283572636
107,2020-06-09,285000,2255.996,126.33,대치동 511,삼성로 150  ,한보미도맨션2,12,1985,대치동,11680,0.8026666666666668,355066.445,2810.626,"{'lat': '37.4933931510549', 'lng': '127.067350014658'}",37.4933931510549,127.067350014658
108,2017-11-18,103000,1214.193,84.83,도곡동 934-10,남부순환로363길 49  ,도곡우성아파트,7,1986,도곡동,11680,0.6666666666666666,154500.0,1821.29,"{'lat': '37.4881982448773', 'lng': '127.037115148391'}",37.4881982448773,127.037115148391
109,2017-09-22,115000,1068.773,107.6,일원동 615-1,개포로110길 43  ,개포한신,4,1984,일원동,11680,0.6653333333333333,172845.691,1606.373,"{'lat': '37.4912703447695', 'lng': '127.07930741151'}",37.4912703447695,127.07930741151
110,2017-08-31,93000,1096.052,84.85,대치동 975-20,영동대로65길 57  ,세영팔레스타운,7,2002,대치동,11680,0.6646666666666667,139919.759,1649.025,"{'lat': '37.5007528030374', 'lng': '127.062160783623'}",37.5007528030374,127.062160783623
111,2020-08-12,102000,2581.625,39.51,수서동 736,광평로47길 17  ,신동아,4,1992,수서동,11680,0.8453333333333333,120662.461,3053.973,"{'lat': '37.4870725721397', 'lng': '127.098442914101'}",37.4870725721397,127.098442914101
112,2018-04-14,298000,1846.802,161.36,대치동 511,삼성로 150  ,한보미도맨션1,11,1983,대치동,11680,0.6819999999999999,436950.147,2707.921,"{'lat': '37.4933931510549', 'lng': '127.067350014658'}",37.4933931510549,127.067350014658
