level_0,index,거래일,거래금액,전용면적,구주소,도로명주소,아파트,층,건축년도,법정동,구,환산가격,환산m2당가격,인구밀도,학원갯수,위경도,위도,경도,역거리,공원거리,대학거리,대형병원거리,전통시장거리,상권거리,투기지구,강남3구,마용성,노도강
2053,35323,2017-03-15,26900,83.52,신월동 492-25,오목로13길 12.0 0.0,동양브로미(101동)B,1,2004.0,신월동,양천구,34205.994,409.555,27199.714285714286,239.0,"{'lat': '37.5238204843748', 'lng': '126.845634442703'}",37.5238204843748,126.845634442703,0.7651632570202157,1.1291025812259896,2.8407545201118394,3.8573195705346297,0.33583282244891044,0.8538169674049423,1,0,0,0
2056,94446,2019-07-03,245000,84.98,대치동 1027,삼성로51길 37.0 0.0,래미안대치팰리스,12,2015.0,대치동,강남구,285109.985,3355.025,22662.5,1626.0,"{'lat': '37.4942977651239', 'lng': '127.058003438015'}",37.4942977651239,127.058003438015,0.4470181616792999,1.2270642377162633,3.462928791877557,2.6793060184480573,1.1051703994202247,0.21562253982161128,1,1,0,0
2060,91037,2018-06-19,118000,84.97,수서동 747,광평로31길 27.0 0.0,삼성,10,1997.0,수서동,강남구,136189.417,1602.794,11988.0,28.0,"{'lat': '37.4848961854277', 'lng': '127.090677682629'}",37.4848961854277,127.090677682629,0.5710148581736639,0.3744572102206269,6.354541684019241,0.5214856297388278,1.4998190851195816,1.2035569788396512,1,1,0,0
2067,310216,2017-12-08,49000,84.84,진관동 1,진관4로 107.0 0.0,은평뉴타운상림마을(푸르지오C-6),9,2008.0,진관동,은평구,56362.781,664.342,4858.0,179.0,"{'lat': '37.6492243049648', 'lng': '126.930330570768'}",37.6492243049648,126.930330570768,1.7166683250397485,1.6727364468963588,5.5603669035448045,9.56510608772043,3.0701558661567008,3.3364387391667996,0,0,0,0
2072,51978,2021-07-12,87500,84.6,신정동 743-2,신정로 170.0 0.0,신정6현대,9,2000.0,신정동,양천구,88506.257,1046.173,26869.0,865.0,"{'lat': '37.5081291196913', 'lng': '126.84158898885'}",37.5081291196913,126.84158898885,1.6617867347941992,0.8478635280334338,1.5425734103273956,4.211351987530952,1.0631578753457007,1.8025969221866012,1,0,0,0
2076,58206,2022-04-18,141000,84.88,신당동 842,동호로10길 30.0 0.0,약수하이츠,7,1999.0,신당동,중구,137812.533,1623.616,31322.166666666668,96.0,"{'lat': '37.5547365066187', 'lng': '127.014263668771'}",37.5547365066187,127.014263668771,0.32115403963811456,1.69398660086431,1.4461119422557844,2.6764452691274996,0.3406861235580137,0.3614483926347087,1,0,0,0
2085,255212,2017-05-19,33800,84.61,쌍문동 727,시루봉로 57.0 0.0,파라다이스빌,8,2004.0,쌍문동,도봉구,39925.297,471.874,30446.75,190.0,"{'lat': '37.6560734842369', 'lng': '127.02741081892'}",37.6560734842369,127.02741081892,1.048055654197777,0.3264929466348681,1.2137757678360928,7.22642995602921,0.9873137032798924,1.8593372420453849,0,0,0,1
2086,335351,2020-09-24,158000,84.61,우면동 717,태봉로2길 60.0 0.0,서초네이처힐3단지,15,2013.0,우면동,서초구,176445.67,2085.4,7536.0,70.0,"{'lat': '37.4641354835865', 'lng': '127.027718697845'}",37.4641354835865,127.027718697845,1.1491624644160408,0.4626710558687929,3.1509958490174608,4.630777188589076,2.422929932641914,0.7299214315389504,1,1,0,0
2087,143597,2020-06-16,84000,84.7556,등촌동 715,등촌로 163.0 0.0,등촌동아이파크,7,2004.0,등촌동,강서구,91249.135,1076.615,33086.0,189.0,"{'lat': '37.5439005769284', 'lng': '126.859981715413'}",37.5439005769284,126.859981715413,1.5111750852738894,0.7471810251457395,0.7394664524850455,2.4741024563651535,1.1975795915286769,1.2711068693460834,1,0,0,0
2091,110430,2020-09-17,150000,84.92,광장동 565,아차산로 522.0 0.0,"현대8(801동,802동)",9,1995.0,광장동,광진구,156491.745,1842.814,14575.0,111.0,"{'lat': '37.541939865593', 'lng': '127.099671092254'}",37.541939865593,127.099671092254,0.5079491667515019,1.0931835902620766,1.0100567340216648,1.9834627377458496,1.0671212350546715,0.7846747968533799,0,0,0,0
2097,316328,2020-02-21,61000,84.951,수색동 415-1,은평터널로 65.0 0.0,대림한숲(DMC이편한세상),3,2003.0,수색동,은평구,65040.961,765.629,9885.0,8.0,"{'lat': '37.5868443421612', 'lng': '126.900022355271'}",37.5868443421612,126.900022355271,0.7723772151457261,1.9235503597001427,1.96006316902883,4.5195774785878955,0.6148580950051206,3.6513997083673706,0,0,0,0
2099,41325,2018-06-26,43000,84.79,신정동 1291,신정로 225.0 12.0,학마을3,12,2002.0,신정동,양천구,49674.048,585.848,26869.0,865.0,"{'lat': '37.5114223595849', 'lng': '126.846765484959'}",37.5114223595849,126.846765484959,1.1042501226737649,0.2884424654897737,1.698656868989883,3.985638631539444,0.7587812208338808,1.2365689269629803,1,0,0,0
2101,34148,2021-11-06,113000,84.66,상암동 1743,월드컵북로 502.0 7.0,상암월드컵파크12단지,9,2010.0,상암동,마포구,110512.232,1305.365,3747.0,105.0,"{'lat': '37.58635705939', 'lng': '126.880246741457'}",37.58635705939,126.880246741457,2.1225769238281567,1.2537436090448981,5.45053256901607,5.581394562447106,2.8277759150093473,1.0526670486467153,1,0,1,0
2104,130466,2017-07-22,74500,84.99,화곡동 1165,우현로 67.0 0.0,강서힐스테이트,3,2015.0,화곡동,강서구,91330.341,1074.601,36250.125,342.0,"{'lat': '37.5467408660411', 'lng': '126.840035331251'}",37.5467408660411,126.840035331251,0.3977563605186114,0.9343593526063173,0.3500163710541283,4.246512721367277,0.4064686285848281,1.1720528990704921,1,0,0,0
2106,234942,2019-06-29,62000,84.83,삼선동2가 425,보문로29다길 31.0 0.0,삼선푸르지오,12,2008.0,삼선동2가,성북구,67392.465,794.441,25449.0,11.0,"{'lat': '37.5834928738163', 'lng': '127.013382220928'}",37.5834928738163,127.013382220928,0.5649498857717336,1.3533649942182449,0.26521369089910257,1.4893640033891586,0.670216663353114,1.022682752703209,0,0,0,0
2107,113436,2017-06-10,67000,84.98,답십리동 1003,답십리로 130.0 0.0,래미안위브,15,2014.0,답십리동,동대문구,78431.195,922.937,34952.0,99.0,"{'lat': '37.5720377764558', 'lng': '127.053951855019'}",37.5720377764558,127.053951855019,1.1012107835525944,0.8384180800028856,1.28704840026851,1.637721617124045,0.381531402336337,1.1735404151388522,1,0,0,0
2118,149355,2021-07-15,92500,84.53,내발산동 756,수명로2가길 22.0 0.0,마곡수명산파크7단지,2,2008.0,내발산동,강서구,94770.693,1121.149,22076.0,293.0,"{'lat': '37.5481491563284', 'lng': '126.822706623708'}",37.5481491563284,126.822706623708,1.2019463302253737,2.0713706008377004,1.7443768285906847,5.765621276843089,1.1486990559680716,1.8498802269731154,1,0,0,0
