,구,행정동,면적 (k㎡),인구 (명),면적 (㎢),인구밀도 (명/㎢),보육시설,외국인주민,중위연령,기초수급자,상가면적,도로비율,임야비율,공원비율,전세m2당보증금,학원갯수
142,강북구,인수동,3.28,30563,3.28,9318,0.01338219415633282,0.018617282334849328,50.3,0.06929947976311226,2149.0853658536585,0.09656556611359615,0.5151696704370043,0.0018035073747615657,376.0,117.0
143,도봉구,쌍문1동,1.24,21658,1.24,17466,0.0253024286637732,0.02507156708837381,48.9,0.05886970172684458,5310.483870967742,0.1598831928877957,0.1091707881165355,0.028619570064826946,396.0,190.0
144,도봉구,쌍문2동,0.54,18864,0.54,34933,0.028042832909245124,0.0193490245971162,48.8,0.05619168787107719,0.0,0.1598831928877957,0.1091707881165355,0.028619570064826946,396.0,190.0
145,도봉구,쌍문3동,0.5,16768,0.5,33536,0.02856631679389313,0.021708015267175574,47.2,0.055999522900763356,28084.0,0.1598831928877957,0.1091707881165355,0.028619570064826946,396.0,190.0
146,도봉구,쌍문4동,0.52,18643,0.52,35852,0.014107171592554847,0.007187684385560264,46.5,0.019310196856729068,0.0,0.1598831928877957,0.1091707881165355,0.028619570064826946,396.0,190.0
147,도봉구,방학1동,0.69,28912,0.69,41901,0.018020199225235196,0.017951023796347537,49.4,0.0646098505810736,0.0,0.1194840584338997,0.4091266266499821,0.022872464952810107,381.0,140.0
148,도봉구,방학2동,0.74,19867,0.74,26847,0.036845019378869484,0.025570040771128,51.2,0.12352141742588212,5029.72972972973,0.1194840584338997,0.4091266266499821,0.022872464952810107,381.0,140.0
149,도봉구,방학3동,2.62,27110,2.62,10347,0.019881962375507194,0.007082257469568425,47.9,0.015049797122832904,0.0,0.1194840584338997,0.4091266266499821,0.022872464952810107,381.0,140.0
150,도봉구,창1동,0.88,24827,0.88,28213,0.01868933016474,0.012647520844242156,46.9,0.024690860756434528,16285.227272727272,0.16875785171749746,0.10658988262997222,0.059561640302678076,434.0,256.0
151,도봉구,창2동,1.05,29337,1.05,27940,0.028496437945256844,0.018918089784231516,46.6,0.0440058629035007,2877.142857142857,0.16875785171749746,0.10658988262997222,0.059561640302678076,434.0,256.0
152,도봉구,창3동,0.67,13923,0.67,20781,0.03354162177691589,0.019248725131078073,49.8,0.08281261222437693,2704.477611940298,0.16875785171749746,0.10658988262997222,0.059561640302678076,434.0,256.0
153,도봉구,창4동,0.95,26583,0.95,27982,0.026445472670503706,0.007034570966407102,46.1,0.013203927321972689,8702.105263157895,0.16875785171749746,0.10658988262997222,0.059561640302678076,434.0,256.0
154,도봉구,창5동,0.7,24709,0.7,35299,0.02294710429398195,0.010117770852725727,46.4,0.025375369298636125,0.0,0.16875785171749746,0.10658988262997222,0.059561640302678076,434.0,256.0
155,도봉구,도봉1동,8.72,21210,8.72,2432,0.019094766619519095,0.017067421027817067,53.5,0.07557755775577557,300.80275229357795,0.045638457229569926,0.7494686517794169,0.011367002170413075,371.0,42.0
156,도봉구,도봉2동,0.83,26962,0.83,32484,0.029968103256434984,0.011905644981826275,50.8,0.04001928640308582,9912.048192771084,0.045638457229569926,0.7494686517794169,0.011367002170413075,371.0,42.0
157,노원구,월계1동,1.16,22240,1.16,19172,0.025629496402877698,0.043839928057553955,45.0,0.04010791366906475,0.0,0.0832148884956429,0.3128538018659758,0.020187881436267468,443.0,92.0
158,노원구,월계2동,1.94,26704,1.94,13765,0.01879868184541642,0.015990113840623127,49.4,0.11743559017375674,0.0,0.0832148884956429,0.3128538018659758,0.020187881436267468,443.0,92.0
159,노원구,월계3동,1.17,30069,1.17,25700,0.022016029798130967,0.013502278093717783,46.8,0.06914097575576175,0.0,0.0832148884956429,0.3128538018659758,0.020187881436267468,443.0,92.0
160,노원구,공릉2동,6.82,41004,6.82,6012,0.03309433226026729,0.03504536142815335,40.8,0.023534289337625598,0.0,0.07043554627763202,0.3105812097741594,0.012291038951992878,466.0,167.0
161,노원구,하계1동,1.55,27036,1.55,17443,0.020195295162006213,0.024263944370469005,45.5,0.10741233910341766,0.0,0.13721030749192534,0.18108118720529567,0.03966251598509314,498.0,85.0
162,노원구,하계2동,0.51,22034,0.51,43204,0.014341472270127983,0.006535354452210221,45.0,0.056322047744395025,0.0,0.13721030749192534,0.18108118720529567,0.03966251598509314,498.0,85.0
163,노원구,중계본동,1.97,24009,1.97,12187,0.013286684160106626,0.006206006081052939,43.9,0.025657045274688657,0.0,0.09237594876956755,0.4513862667548138,0.03573315686525407,516.0,619.0
164,노원구,중계1동,0.63,26877,0.63,42662,0.015738363656658108,0.0077389589611935854,42.8,0.029281541838746886,0.0,0.09237594876956755,0.4513862667548138,0.03573315686525407,516.0,619.0
165,노원구,중계4동,1.7,19975,1.7,11750,0.008760951188986232,0.005707133917396746,48.3,0.09171464330413016,0.0,0.08369666098565495,0.5055045185897873,0.028033118002881285,464.0,557.0
166,노원구,상계1동,5.62,38275,5.62,6810,0.028164598301763554,0.008647942521227955,47.9,0.04984977139124755,0.0,0.07501737320174234,0.5596227704247608,0.020333079140508498,412.0,496.0
167,노원구,상계2동,0.61,20143,0.61,33021,0.03604229757235764,0.016233927418954474,47.5,0.051531549421635306,0.0,0.07501737320174234,0.5596227704247608,0.020333079140508498,412.0,496.0
168,노원구,상계5동,1.01,24077,1.01,23839,0.014121360634630561,0.01299995846658637,49.8,0.08551729866677742,25407.920792079207,0.07501737320174234,0.5596227704247608,0.020333079140508498,412.0,496.0
169,노원구,상계8동,0.67,22598,0.67,33728,0.030887689176033278,0.005398707850252235,39.8,0.015620851402779006,0.0,0.07501737320174234,0.5596227704247608,0.020333079140508498,412.0,496.0
170,노원구,상계9동,0.81,20529,0.81,25344,0.016513225193628526,0.011447221004432753,46.0,0.025719713575916996,0.0,0.07501737320174234,0.5596227704247608,0.020333079140508498,412.0,496.0
171,노원구,상계10동,0.8,18731,0.8,23414,0.01825850194864129,0.00672681650739416,44.0,0.02333030804548609,0.0,0.07501737320174234,0.5596227704247608,0.020333079140508498,412.0,496.0
172,노원구,상계3.4동,5.05,26268,5.05,5202,0.030455306837216384,0.011420740063956145,50.9,0.09936043855641846,0.0,0.07501737320174234,0.5596227704247608,0.020333079140508498,412.0,496.0
