공원명,면적,개원일,주요시설,지역,공원주소,경도,위도
남산도시자연공원,2896887㎡ 임 야 : 2454140㎡ 녹지대 및 기타시설 : 442747㎡,1968.9.10,기반시설 : 광장 45950㎡ 도로 108530㎡ 산책로 6.7㎞ (북측:3.7㎞/남측:3.0㎞) 조경시설 : 연못 1개소(1078㎡) 파고라 분수대 그늘시렁 운동시설 : 테니스장 야구장 궁도장 배드민턴장 교양시설 : 도서관 야외식물원 안중근의사 기념관 편익시설 : 주차장 매점 음수대 팔각정 화장실 밴치 타워전망대 기타시설 : 순환도로 18.9㎞,중구,서울특별시 중구 삼일대로 231(예장동),126.9903773,37.5501402
길동생태공원,80683㎡,1999.5.20,탐방객안내소 야외전시대 관찰대 목재데크 조류관찰대 길동생태문화센터,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,127.1547791,37.5403935
서울대공원,9132690m²,1984.5.1,동물원 식물원 테마가든(장미원 어린이동물원 피크닉장) 치유숲 산림욕장 캠핑장 국립현대미술관 서울랜드 기린나라 코끼리열차 스카이리프트 등,과천시,경기도 과천시 대공원광장로 102,127.0198465,37.4264494
서울숲,480994㎡,2005.6.18,4개 테마공원: 문화예술공원 자연생태숲 자연체험학습원 습지생태원 주요시설: 가족마당 야외무대 사슴우리 곤충식물원 체육시설 놀이터 산책로 등 ,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,127.0417982,37.5430717
월드컵공원,2284085㎡,2002.5.1,평화의 공원 월드컵공원전시관(879㎡) 유니세프광장(2400㎡) 평화광장(5217㎡) 난지연못(24522㎡) 휴게소2개소 화장실 6개소 음수전 2개소 별자리광장(2800㎡) 잔디광장(15110㎡) 야외전시장(5145㎡) 모험놀이터(1133㎡) 피크닉장(멍석20개) 테니스장 2면 평화의정원 1개소 주차장(1242면) 에너지제로하우스 하늘공원 탐방객안내소(103㎡) 풍력발전기 5개소 전망대 20개소 화장실 5개소 음수전 4개소 하늘계단 하늘을 담는 그릇 초지(109567㎡) 난지천공원 인조잔디축구장 게이트볼장(1188㎡) 농구장(420㎡) 음수전 4개소 화장실 5개소 배드민턴장(328㎡) 다목적구장(3240㎡) 장애인놀이터(1591㎡) 어린이놀이터(706㎡) 매점 2개소 잔디광장(16193㎡) 오리연못(3600㎡) 주차장(난지천 196면 임시주차장 250면 장애인주차장 53면) 노을공원 관찰?쉼터데크 전망데크 바람의광장 누에생태체험장 노을캠핑장 파크골프장 노을계단 조각 작품 10 반딧불이 관찰원 커뮤니티센터 난지창작스튜디오 희망의숲 등 매립지 사면 달리기코스(난지순환길 5.8㎞) 수림대 사면녹화 기타시설 지역난방공사 자원회수시설 수소충전시설 수소발전시설 ,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),126.878907,37.571805
광화문시민열린마당,8948.1㎡,1999.1.1,조 경 시 설 : 육조상징벽 6개소 전통담장 4개소 열주 22조 화계6개소 편 익 시 설 : 화강석의자 35조 관 리 시 설 : 광장등 4본 정원등 23본 투사등 28본 열주내장등 22본 기 반 시 설 : 열린마당 3280㎡ 육조마당 920㎡ 휴게마당 1670㎡ 녹지대 3078㎡ 대형전용 주차장 : 9면 ,종로구,서울특별시 종로구 세종로 76-2,126.9780227,37.5750449
진관근린공원(구파발폭포),휴양 및 편익시설 : 평의자 7개 화장실 23.18㎡ 조경시설 - 은하폭포(높이 12m × 폭10m 발원지로부터 17.3m 폭 1.5 ~ 10m 수조 255㎡ 담수량 140t) - 산성폭포(높이 5m×폭 12m 수조 90㎡ 담수량 75t)- 명속의 벽 1개소(높이 5.4m) 교양시설 : 야외공연무대 102㎡ 관리시설 : 관리실 8.55㎡ 전기실 51.03㎡ 기계실 83.36㎡ 안내판 1개 공원 등 18본 휴양시설 : 벤취 12개 ,1997.10.1,폭포 야외무대,은평구,서울특별시 은평구 진관동 393,126.9192155,37.6370244
중마루근린공원,6456㎥,1997.11.25 ,기반시설 : 광장 200㎡ 산책 등산로 0.50㎞ 편익시설 : 광장  의자 휴지통 음수대 공원등 등 편익시설 : 파고라 연못 1개소(150㎡) 그늘시렁 등 휴양시설 : 정자,영등포구,서울특별시 영등포구 영등포동2가 222,126.9112668,37.519832
응봉공원,80309㎡ 배수지 시설용량 : 201.000㎥ 송수 펌프용량 : 직송급수계통 30000㎥/일 금호배수지계통 16400㎥/일 ,2003.2.21 ,조경시설 : 파고라 외 222소 운동시설 : 잔디광장 테니스장 2면 게이트볼장 배드민턴장 6면 다목적경기장 등 편익시설 : 음수대 화장실 2동 등 기타시설 : 관리동 등 ,성동구,서울특별시 성동구 금호동1가 산1-72,127.0217653,37.5572281
매화근린공원,1980.4㎡   ,1998.6.18 ,상징조형물 팔각정자 사각파고라 음수전 ,강서구,서울특별시 강서구 등촌동 630-14,126.86115,37.5575833
